Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
"Agranular insular area, posterior part, layer 6a",661.3396771,16.70006834,7363.31773,105.7030497,724.7470602,60.29037809,4460.678412,677.5926207,13210.08288,471.9032901,4460.678412,471.9032901,78612.82901,0.23684375
"Agranular insular area, ventral part",2363.757187,0,5113.202804,0,1356.492422,0,3785.112039,0,12618.56445,0,3785.112039,0,45208.56963,1.13996875
"Agranular insular area, ventral part, layer 1",322.8875543,0,747.9206946,141.7479102,1214.938171,762.9140374,6924.238927,863.1528618,9209.985346,0,6924.238927,0,9209.985346,0.200328125
"Agranular insular area, ventral part, layer 2/3",2146.188989,0,4864.702833,0,2233.37169,347.4688255,4143.9938,579.3097268,13388.25731,495.6501229,4143.9938,495.6501229,48948.99121,0.449359375
"Agranular insular area, ventral part, layer 5",3784.033698,387.6154195,7285.15248,0,645.9382608,3.097819881,1356.095565,540.2317535,13071.22,499.4791915,1356.095565,499.4791915,56362.15225,0.36771875
"Agranular insular area, ventral part, layer 6a",2245.207027,23.83815033,6670.147423,0,506.8105949,130.5008002,4645.041752,476.507584,14067.2068,502.5210117,4645.041752,502.5210117,56941.52379,0.1220625
"Agranular insular area, ventral part, layer 6b",0,0,0,0,0,0,0,0,0,0,0,0,39608.98574,0.0005
Retrosplenial area,5191.211154,0,5247.450684,0,2852.88295,0,14990.78618,0,28282.33097,0,14990.78618,0,106246.7449,7.72696875
"Retrosplenial area, lateral agranular part",3653.237954,0,6325.634638,0,3363.333735,0,8579.672702,0,21921.87903,0,8579.672702,0,92078.29677,0.947640625
"Retrosplenial area, lateral agranular part, layer 1",139.7187659,26.14001416,724.2755686,24.74277337,1721.844066,58.30231952,41932.17937,91.90642077,44518.01777,0,41932.17937,0,44518.01777,0.165296875
"Retrosplenial area, lateral agranular part, layer 2/3",3578.500462,25.96363313,6204.027348,637.4287631,8079.123809,952.4776227,5.06359E-12,767.3813036,17861.65162,814.4112938,5.06359E-12,814.4112938,139449.8183,0.269421875
"Retrosplenial area, lateral agranular part, layer 5",6062.92608,0,8802.379435,1520.932597,1830.81057,38.91043967,2.72964E-12,711.8570556,16696.11609,754.0042659,2.72964E-12,754.0042659,88311.86083,0.27071875
"Retrosplenial area, lateral agranular part, layer 6a",3440.899513,324.9147144,7515.341576,454.4687034,950.8102072,459.417362,5293.84837,719.9253377,17200.89967,614.4628457,5293.84837,614.4628457,76860.94897,0.210484375
"Retrosplenial area, lateral agranular part, layer 6b",3440.613693,1019.241058,7515.304373,978.8136411,950.7976614,603.1103316,2677.149128,1604.907933,14583.86486,509.2352977,2677.149128,509.2352977,70680.86154,0.03171875
"Retrosplenial area, dorsal part",5258.31585,0,5369.029,0,2709.291134,0,11600.14169,0,24936.77767,0,11600.14169,0,91660.13488,2.719765625
"Retrosplenial area, dorsal part, layer 1",368.1879848,367.8003401,748.6852351,0,1396.564347,41.55614981,53205.02605,401.7985236,55718.46361,0,53205.02605,0,55718.46361,0.494078125
"Retrosplenial area, dorsal part, layer 2/3",5267.205713,55.82967859,4834.805001,432.2824756,6014.507104,956.7895214,0,740.9381804,16116.51782,377.9174919,0,377.9174919,140881.595,0.73809375
"Retrosplenial area, dorsal part, layer 5",8283.306449,470.2688295,7436.52035,394.2826033,1733.542708,6.039879035,3085.975748,1120.063521,20539.34526,751.4719943,3085.975748,751.4719943,85842.36861,0.889796875
"Retrosplenial area, dorsal part, layer 6a",4786.443827,76.12643115,6769.96961,120.5291932,1165.693373,107.4787407,4640.678722,580.0481456,17362.78553,620.2458533,4640.678722,620.2458533,72122.6232,0.542234375
"Retrosplenial area, dorsal part, layer 6b",4786.445509,94.31711265,6769.842157,245.7259417,1165.804219,77.89528625,1.02305E-12,349.8289202,12722.09188,72.60568695,1.02305E-12,72.60568695,41239.11576,0.0555625
"Retrosplenial area, ventral part",5505.268848,0,4914.312461,0,2829.927812,0,18758.97301,0,32008.48213,0,18758.97301,0,119326.666,4.0595625
"Retrosplenial area, ventral part, layer 1",686.6636848,325.2220264,1230.401404,270.2665979,2269.816517,446.7429243,83568.93008,845.8779301,87755.81169,0,83568.93008,0,87755.81169,0.88675
"Retrosplenial area, ventral part, layer 2",2087.193384,808.6471852,3080.653482,206.4275487,6530.209676,1446.556559,3866.87202,2081.427303,15564.92856,541.1057445,3866.87202,541.1057445,289074.9065,0.350203125
"Retrosplenial area, ventral part, layer 2/3",4642.696037,0,5392.300443,77.31053177,6009.913949,566.6587217,720.5723828,1194.914902,16765.48281,642.6364395,720.5723828,642.6364395,165010.8592,0.750359375
"Retrosplenial area, ventral part, layer 5",9271.707337,1101.897792,6360.877654,273.3468501,1513.460948,89.04311484,0,692.4260702,17146.04594,600.2583041,0,600.2583041,88196.97177,1.34015625
"Retrosplenial area, ventral part, layer 6a",6966.210186,99.71155623,7115.637656,271.283396,888.8809804,263.4836045,149.5669304,679.1334397,15120.29575,603.474774,149.5669304,603.474774,89938.41477,0.68215625
"Retrosplenial area, ventral part, layer 6b",6966.136682,697.7533761,7115.610996,659.963769,888.7920665,0,1032.644691,1147.565369,16003.18444,692.2548265,1032.644691,692.2548265,39938.66744,0.0499375
Posterior parietal association areas,4413.795138,0,5173.433646,0,2550.331226,0,6243.587391,0,18381.1474,0,6243.587391,0,87115.88861,3.5568125
"Posterior parietal association areas, layer 1",120.2169629,0,512.3939977,56.92228802,1602.292235,173.2651887,28163.44776,201.0444135,30398.35095,0,28163.44776,0,30398.35095,0.50778125
"Posterior parietal association areas, layer 2/3",3632.649881,29.44895122,3898.173461,249.3855594,5761.493323,388.6319758,520.3504634,724.3148612,13812.66713,529.5586151,520.3504634,529.5586151,105967.3857,0.90159375
"Posterior parietal association areas, layer 4",7029.754658,56.44809461,5730.027338,0,3203.901207,42.06489974,5.56878E-12,18.57310741,15963.6832,167.5388013,5.56878E-12,167.5388013,109756.0397,0.326640625
"Posterior parietal association areas, layer 5",7538.996391,335.6517594,8480.756632,91.10440944,1321.46371,108.2172262,1810.317842,859.2634029,19151.53458,684.1447218,1810.317842,684.1447218,94900.97099,1.019703125
"Posterior parietal association areas, layer 6a",2969.793466,235.7837551,5126.32501,161.677921,834.9664041,74.99769187,8270.777121,667.4721843,17201.862,614.4975354,8270.777121,614.4975354,92028.02153,0.614515625
"Posterior parietal association areas, layer 6b",2969.786785,2.199583143,5126.324424,56.9338755,834.957429,30.27254823,2726.716816,561.9024813,11657.78545,423.4975503,2726.716816,423.4975503,52017.78592,0.186578125
Temporal association areas,2275.522696,0,5695.872822,0,2839.053799,0,6807.622934,0,17618.07225,0,6807.622934,0,100077.9752,3.860953125
"Temporal association areas, layer 1",30.92899567,156.6789959,405.3024463,0,1465.815895,0,22607.82749,184.9780616,24509.87483,0,22607.82749,0,24509.87483,0.628375
"Temporal association areas, layer 2/3",1310.679557,0,4132.355022,19.75452653,6110.567519,1150.900221,4448.456045,1634.558947,16002.05814,571.6371381,4448.456045,571.6371381,117884.9624,0.957484375
"Temporal association areas, layer 4",4337.363507,0,6910.156189,164.3847824,4228.415136,463.7895854,4162.111434,697.4390919,19638.04627,701.5253718,4162.111434,701.5253718,101467.2385,0.3406875
"Temporal association areas, layer 5",3894.802481,0,8720.959242,250.3931034,1719.834147,0,3393.488995,611.9205995,17729.08486,633.3312243,3393.488995,633.3312243,106158.3176,1.20646875
"Temporal association areas, layer 6a",1833.475764,117.5771169,6737.370646,6.617219619,926.0407177,50.56660126,4064.031751,483.5697901,13560.91888,484.4336252,4064.031751,484.4336252,144317.2252,0.567484375
"Temporal association areas, layer 6b",1833.460106,53.33360198,6737.353848,148.0434482,926.0690921,45.76387034,0,0,9496.883045,290.3620217,0,290.3620217,84628.36848,0.160453125
Perirhinal area,1339.641415,0,4718.637791,0,1662.273531,0,9998.891097,0,17719.44383,0,9998.891097,0,84193.67097,1.453109375
"Perirhinal area, layer 1",62.9571425,267.8552343,565.8778776,43.07314304,1135.099916,298.9465569,21515.79099,375.9309724,23279.72592,0,21515.79099,0,23279.72592,0.325890625
"Perirhinal area, layer 2/3",1621.935187,0.920513673,4312.074052,122.8090204,3092.989807,73.25428959,11272.56325,765.6865418,20299.56229,725.1549453,11272.56325,725.1549453,102687.2433,0.451203125
"Perirhinal area, layer 5",2205.672374,149.6477718,6653.191707,165.2617083,967.6267383,0,3278.8519,579.3315651,13105.34272,468.1587892,3278.8519,468.1587892,93679.08811,0.425171875
"Perirhinal area, layer 6a",1022.613924,0,7566.112404,0,951.0801275,25.31645483,3531.58766,431.891668,13071.39412,466.9472001,3531.58766,466.9472001,120338.2309,0.186328125
"Perirhinal area, layer 6b",1022.613325,41.45252469,7566.100422,570.7325881,951.0798866,53.13031797,5880.162183,825.8535406,15419.95582,550.8441715,5880.162183,550.8441715,95652.0628,0.064515625
Ectorhinal area,1746.931917,0,5411.528982,0,3032.48405,0,10110.31798,0,20301.26293,0,10110.31798,0,112033.5123,3.457703125
Ectorhinal area/Layer 1,68.89682267,194.526504,566.078265,57.57136048,1557.59463,338.7571191,32285.85091,409.560419,34478.42063,0,32285.85091,0,34478.42063,0.714828125
Ectorhinal area/Layer 2/3,1611.187228,21.26813393,4826.951627,472.1806054,5968.451431,566.3108933,5383.939535,1064.466486,17790.52982,635.5258468,5383.939535,635.5258468,115302.8537,1.138453125
Ectorhinal area/Layer 5,2979.283279,149.6616481,7954.211946,0,1846.199549,52.6764774,4043.591623,547.2593043,16823.2864,600.9735189,4043.591623,600.9735189,138340.7844,1.0436875
Ectorhinal area/Layer 6a,1867.945402,247.5940969,8042.744605,85.6248256,1159.835722,84.6933591,3041.918096,576.1548875,14112.44382,504.1356953,3041.918096,504.1356953,167204.2397,0.454453125
Ectorhinal area/Layer 6b,1867.940819,0,8042.734196,83.47658226,1159.833789,0,1389.010879,340.1969741,12459.51968,453.5547599,1389.010879,453.5547599,104388.5939,0.10628125
Olfactory areas,600.533299,0,6458.238144,140.7638042,2214.001188,46.19664087,37517.81931,0.078162754,46790.59194,207.9078202,37517.81931,207.9078202,186717.0903,43.85057813
Main olfactory bulb,726.6002361,231.181638,6629.442857,465.5127916,3760.012415,798.4327907,76943.53122,1900.13564,88059.58673,2005.77766,76943.53122,2005.77766,328454.3506,18.14578125
"Main olfactory bulb, glomerular layer",1140.10704,72.20097699,12963.35614,2692.008745,6342.635539,1727.326569,101553.8871,12783.55795,121999.9858,13519.04774,101553.8871,13519.04774,255263.3747,4.778328125
